
=== Target Sell Zone (2021-05-10 to 2022-04-12) ===
Date         | Close    | RSI    | EMA200   | Ext%   | Stoch Bear
2021-10-04   | 3385.76  | 55.43  | 2606.28  | 29.91  |           
2021-10-05   | 3516.21  | 58.69  | 2615.34  | 34.45  |           
2021-10-06   | 3576.15  | 60.14  | 2624.90  | 36.24  |           
2021-10-07   | 3588.18  | 60.44  | 2634.48  | 36.20  |           
2021-10-08   | 3562.84  | 59.43  | 2643.72  | 34.77  |           
2021-10-09   | 3574.82  | 59.77  | 2652.99  | 34.75  |           
2021-10-10   | 3417.14  | 53.37  | 2660.59  | 28.44  |           
2021-10-11   | 3543.58  | 57.32  | 2669.37  | 32.75  | YES       
2021-10-12   | 3490.24  | 55.20  | 2677.54  | 30.35  |           
2021-10-13   | 3608.07  | 58.82  | 2686.80  | 34.29  |           
2021-10-14   | 3791.04  | 63.73  | 2697.79  | 40.52  |           
2021-10-15   | 3868.67  | 65.60  | 2709.44  | 42.78  |           
2021-10-16   | 3828.36  | 63.76  | 2720.57  | 40.72  |           
2021-10-17   | 3846.53  | 64.25  | 2731.78  | 40.81  |           
2021-10-18   | 3746.03  | 59.49  | 2741.87  | 36.62  | YES       
2021-10-19   | 3877.68  | 63.32  | 2753.17  | 40.84  |           
2021-10-20   | 4162.44  | 69.95  | 2767.19  | 50.42  |           
2021-10-21   | 4055.06  | 65.17  | 2780.01  | 45.87  |           
2021-10-22   | 3971.15  | 61.62  | 2791.86  | 42.24  |           
2021-10-23   | 4170.09  | 66.30  | 2805.57  | 48.64  |           
2021-10-24   | 4083.26  | 62.71  | 2818.29  | 44.88  |           
2021-10-25   | 4220.24  | 65.85  | 2832.24  | 49.01  |           
2021-10-26   | 4130.69  | 62.16  | 2845.16  | 45.18  |           
2021-10-27   | 3923.64  | 54.55  | 2855.89  | 37.39  |           
2021-10-28   | 4289.08  | 63.13  | 2870.15  | 49.44  |           
2021-10-29   | 4418.39  | 65.61  | 2885.55  | 53.12  |           
2021-10-30   | 4322.62  | 62.27  | 2899.85  | 49.06  |           
2021-10-31   | 4289.93  | 61.13  | 2913.68  | 47.23  |           
